YEAR,State,Party_Standard,Seats
2019,JHARKHAND,OTHERS,2
2019,KARNATAKA,BJP,25
2019,KARNATAKA,INC,1
2019,KARNATAKA,OTHERS,2
2019,KERALA,INC,15
2019,KERALA,OTHERS,5
2019,LAKSHADWEEP,OTHERS,1
2019,MADHYA PRADESH,BJP,28
2019,MADHYA PRADESH,INC,1
2019,MAHARASHTRA,BJP,23
2019,MAHARASHTRA,INC,1
2019,MAHARASHTRA,OTHERS,6
2019,MAHARASHTRA,SHS,18
2019,MANIPUR,BJP,1
2019,MANIPUR,OTHERS,1
2019,MEGHALAYA,INC,1
2019,MEGHALAYA,OTHERS,1
2019,MIZORAM,OTHERS,1
2019,NAGALAND,OTHERS,1
2019,NCT OF DELHI,BJP,7
2019,ODISHA,BJP,8
2019,ODISHA,INC,1
2019,ODISHA,OTHERS,12
2019,PUDUCHERRY,INC,1
2019,PUNJAB,BJP,2
2019,PUNJAB,INC,8
2019,PUNJAB,OTHERS,3
2019,RAJASTHAN,BJP,24
2019,RAJASTHAN,OTHERS,1
2019,SIKKIM,OTHERS,1
2019,TAMIL NADU,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1
2019,TAMIL NADU,DRAVIDA MUNNETRA KAZHAGAM,23
2019,TAMIL NADU,INC,8
2019,TAMIL NADU,OTHERS,6
2019,TELANGANA,BJP,4
2019,TELANGANA,INC,3
2019,TELANGANA,OTHERS,10
2019,TRIPURA,BJP,2
2019,UTTAR PRADESH,BJP,62
2019,UTTAR PRADESH,BSP,11
2019,UTTAR PRADESH,INC,1
2019,UTTAR PRADESH,OTHERS,2
2019,UTTAR PRADESH,SP,5
2019,UTTARAKHAND,BJP,5
2019,WEST BENGAL,AITC,22
2019,WEST BENGAL,BJP,18
2019,WEST BENGAL,INC,2
2024,ANDAMAN & NICOBAR ISLANDS,BJP,1
2024,ANDHRA PRADESH,BJP,3
2024,ANDHRA PRADESH,OTHERS,6
2024,ANDHRA PRADESH,TDP,16
2024,ARUNACHAL PRADESH,BJP,2
2024,ASSAM,BJP,9
2024,ASSAM,INC,3
2024,ASSAM,OTHERS,2
2024,BIHAR,BJP,12
2024,BIHAR,INC,3
2024,BIHAR,OTHERS,25
2024,CHANDIGARH,INC,1
2024,CHHATTISGARH,BJP,10
2024,CHHATTISGARH,INC,1
2024,DADRA & NAGAR HAVELI AND DAMAN & DIU,BJP,1
2024,DADRA & NAGAR HAVELI AND DAMAN & DIU,OTHERS,1
2024,GOA,BJP,1
2024,GOA,INC,1
2024,GUJARAT,BJP,24
2024,GUJARAT,INC,1
2024,HARYANA,BJP,5
2024,HARYANA,INC,5
2024,HIMACHAL PRADESH,BJP,4
2024,JAMMU AND KASHMIR,BJP,2
2024,JAMMU AND KASHMIR,OTHERS,3
2024,JHARKHAND,BJP,8
2024,JHARKHAND,INC,2
2024,JHARKHAND,OTHERS,4
2024,KARNATAKA,BJP,17
2024,KARNATAKA,INC,9
2024,KARNATAKA,OTHERS,2
2024,KERALA,BJP,1
2024,KERALA,INC,14
2024,KERALA,OTHERS,5
2024,LADAKH,OTHERS,1
2024,LAKSHADWEEP,INC,1
2024,MADHYA PRADESH,BJP,29
2024,MAHARASHTRA,BJP,9
2024,MAHARASHTRA,INC,13
2024,MAHARASHTRA,OTHERS,19
2024,MAHARASHTRA,SHS,7
2024,MANIPUR,INC,2
2024,MEGHALAYA,INC,1
2024,MEGHALAYA,OTHERS,1
2024,MIZORAM,OTHERS,1
2024,NAGALAND,INC,1
2024,NCT OF DELHI,BJP,7
2024,ODISHA,BJP,20
2024,ODISHA,INC,1
2024,PUDUCHERRY,INC,1
2024,PUNJAB,INC,7
2024,PUNJAB,OTHERS,6
2024,RAJASTHAN,BJP,14
2024,RAJASTHAN,INC,8
2024,RAJASTHAN,OTHERS,3
2024,SIKKIM,OTHERS,1
2024,TAMIL NADU,DRAVIDA MUNNETRA KAZHAGAM,22
2024,TAMIL NADU,INC,9
2024,TAMIL NADU,OTHERS,8
2024,TELANGANA,BJP,8
2024,TELANGANA,INC,8
