YEAR,State,Constituency,Total_Voters,Total_Electors,Total_Turnout,Male_Electors,Male_Voters,Male_Turnout,Female_Electors,Female_Voters,Female_Turnout,Coverage_Note
2009,A&N ISLANDS,A&N ISLANDS,170103.0,265108.0,64.16366160206405,,,,,,,Official constituency aggregate where source data is available.
2009,ANDHRA PRADESH,ADILABAD,863581.0,1131211.0,76.34128381000538,,,,,,,Official constituency aggregate where source data is available.
2009,ANDHRA PRADESH,AMALAPURAM,1023765.0,1275287.0,80.2772238719598,,,,,,,Official constituency aggregate where source data is available.
2009,ANDHRA PRADESH,ANAKAPALLI,1048154.0,1331695.0,78.70826277788832,,,,,,,Official constituency aggregate where source data is available.
2009,ANDHRA PRADESH,ANANTAPUR,1000208.0,1411460.0,70.86336134215635,,,,,,,Official constituency aggregate where source data is available.
2009,ANDHRA PRADESH,ARUKU,792367.0,1182514.0,67.0069868094585,,,,,,,Official constituency aggregate where source data is available.
2009,ANDHRA PRADESH,BAPATLA,1043627.0,1321607.0,78.96651576452001,,,,,,,Official constituency aggregate where source data is available.
2009,ANDHRA PRADESH,BHONGIR,1127790.0,1478391.0,76.28496115033168,,,,,,,Official constituency aggregate where source data is available.
2009,ANDHRA PRADESH,CHELVELLA,1085000.0,1681664.0,64.51942837570407,,,,,,,Official constituency aggregate where source data is available.
2009,ANDHRA PRADESH,CHITTOOR,1044438.0,1291921.0,80.84379772447386,,,,,,,Official constituency aggregate where source data is available.
2009,ANDHRA PRADESH,ELURU,1078988.0,1275575.0,84.58836211120475,,,,,,,Official constituency aggregate where source data is available.
2009,ANDHRA PRADESH,GUNTUR,1044731.0,1365177.0,76.52714629678057,,,,,,,Official constituency aggregate where source data is available.
2009,ANDHRA PRADESH,HINDUPUR,1026389.0,1377610.0,74.50504859866,,,,,,,Official constituency aggregate where source data is available.
2009,ANDHRA PRADESH,HYDERABAD,926257.0,1393242.0,66.48213303934277,,,,,,,Official constituency aggregate where source data is available.
2009,ANDHRA PRADESH,KADAPA,1026285.0,1347716.0,76.14994553748713,,,,,,,Official constituency aggregate where source data is available.
2009,ANDHRA PRADESH,KAKINADA,965570.0,1265094.0,76.3239727640792,,,,,,,Official constituency aggregate where source data is available.
2009,ANDHRA PRADESH,KARIMNAGAR,989301.0,1496211.0,66.12042018137817,,,,,,,Official constituency aggregate where source data is available.
2009,ANDHRA PRADESH,KHAMMAM,1034009.0,1259815.0,82.07625722824383,,,,,,,Official constituency aggregate where source data is available.
2009,ANDHRA PRADESH,KURNOOL,871360.0,1307312.0,66.6527959660739,,,,,,,Official constituency aggregate where source data is available.
2009,ANDHRA PRADESH,MACHILIPATNAM,1045905.0,1251053.0,83.60197369735735,,,,,,,Official constituency aggregate where source data is available.
2009,ANDHRA PRADESH,MAHABUBABAD,996402.0,1265396.0,78.7423067561459,,,,,,,Official constituency aggregate where source data is available.
2009,ANDHRA PRADESH,MAHABUBNAGAR,926516.0,1368868.0,67.68483155424775,,,,,,,Official constituency aggregate where source data is available.
2009,ANDHRA PRADESH,MALKAJGIRI,1205714.0,2343050.0,51.45916647105268,,,,,,,Official constituency aggregate where source data is available.
2009,ANDHRA PRADESH,MEDAK,1060272.0,1389721.0,76.2938748137216,,,,,,,Official constituency aggregate where source data is available.
2009,ANDHRA PRADESH,NAGARKURNOOL,1025367.0,1460484.0,70.20734222353686,,,,,,,Official constituency aggregate where source data is available.
2009,ANDHRA PRADESH,NALGONDA,1078698.0,1455016.0,74.13650434084573,,,,,,,Official constituency aggregate where source data is available.
2009,ANDHRA PRADESH,NANDYAL,994826.0,1358711.0,73.21836652533173,,,,,,,Official constituency aggregate where source data is available.
2009,ANDHRA PRADESH,NARASAPUR,990960.0,1173138.0,84.47088066365593,,,,,,,Official constituency aggregate where source data is available.
2009,ANDHRA PRADESH,NARASARAOPET,1081754.0,1360431.0,79.5155358853187,,,,,,,Official constituency aggregate where source data is available.
2009,ANDHRA PRADESH,NELLORE,1002419.0,1450938.0,69.08765226357019,,,,,,,Official constituency aggregate where source data is available.
2009,ANDHRA PRADESH,NIZAMABAD,889511.0,1333271.0,66.71644399375671,,,,,,,Official constituency aggregate where source data is available.
2009,ANDHRA PRADESH,ONGOLE,1021349.0,1375558.0,74.24979535577562,,,,,,,Official constituency aggregate where source data is available.
2009,ANDHRA PRADESH,PEDDAPALLI,904084.0,1315642.0,68.71808592307026,,,,,,,Official constituency aggregate where source data is available.
2009,ANDHRA PRADESH,RAJAHMUNDRY,1017820.0,1260974.0,80.71696958065749,,,,,,,Official constituency aggregate where source data is available.
2009,ANDHRA PRADESH,RAJAMPET,995648.0,1311449.0,75.91968883273387,,,,,,,Official constituency aggregate where source data is available.
2009,ANDHRA PRADESH,SECUNDERABAD,865038.0,1574818.0,54.92939501580501,,,,,,,Official constituency aggregate where source data is available.
2009,ANDHRA PRADESH,SRIKAKULAM,918772.0,1226125.0,74.93297991640331,,,,,,,Official constituency aggregate where source data is available.
2009,ANDHRA PRADESH,TIRUPATI,1061533.0,1464896.0,72.46473469788982,,,,,,,Official constituency aggregate where source data is available.
2009,ANDHRA PRADESH,VIJAYAWADA,1088297.0,1402315.0,77.60717099938317,,,,,,,Official constituency aggregate where source data is available.
